id,sex,weight,carapace,claw,any_injury,antennae_injury,claw_injury,digit_injury,total_injury
1,M,31,4.9,4,Y,Y,N,Y,two
2,F,27,5.1,3,Y,Y,N,Y,two
3,F,29,5,3.9,N,N,N,N,zero
4,F,32,5.2,3.4,Y,N,N,Y,one
5,M,32,4.9,4,N,N,N,N,zero
6,M,32,4.9,4.1,N,N,N,N,zero
7,M,39,5.3,4.7,Y,N,Y,N,one
8,M,45,5.1,5.2,Y,Y,N,N,one
9,F,28,4.6,3.5,Y,Y,N,N,one
10,M,39,5.1,4.8,Y,N,N,Y,one
11,M,30,4.3,4.2,Y,Y,N,N,one
12,M,39,4.9,4.4,Y,Y,N,Y,two
13,M,33,4.6,4.2,Y,Y,N,Y,two
14,F,38,5.1,3.9,Y,Y,N,N,one
15,M,36,5.1,4.2,Y,Y,N,N,one
16,F,29,4.7,3.3,Y,Y,N,N,one
17,M,33,5,4.1,Y,Y,N,Y,two
18,M,42,5.3,4.9,N,N,N,N,zero
19,M,41,5.1,4.5,N,N,N,N,zero
20,F,31,4.9,3.9,Y,Y,N,N,one
21,M,32,4.9,4.3,N,N,N,N,zero
22,F,27,4.6,3,Y,Y,N,Y,two
23,M,28,4.6,4,Y,Y,N,N,one
24,M,38,5.1,4.9,N,N,N,N,zero
25,M,51,5.9,5.4,N,N,N,N,zero
26,M,32,4.6,4.2,N,N,N,N,zero
27,M,50,5.7,5.5,Y,Y,Y,N,two
28,F,33,5.3,3.4,Y,Y,Y,N,two
29,F,33,5.2,3.4,Y,N,N,Y,one
30,M,43,5.4,4.9,N,N,N,N,zero
31,F,25,4.4,3.1,Y,Y,N,Y,two
